,Shabda,Varga
138,pītāmbara,svargavargaḥ
139,acyuta,svargavargaḥ
140,śārṅgin,svargavargaḥ
141,viṣvaksena,svargavargaḥ
142,viśvaksena,svargavargaḥ
143,janārdana,svargavargaḥ
144,upendra,svargavargaḥ
145,indrāvaraja,svargavargaḥ
146,cakrapāṇi,svargavargaḥ
147,caturbhuja,svargavargaḥ
148,padmanābha,svargavargaḥ
149,madhuripu,svargavargaḥ
150,vāsudeva,svargavargaḥ
151,trivikrama,svargavargaḥ
152,devakīnandana,svargavargaḥ
153,śauri,svargavargaḥ
154,sauri,svargavargaḥ
155,śrīpati,svargavargaḥ
156,puruṣottama,svargavargaḥ
157,vanamālin,svargavargaḥ
158,balidhvaṃsin,svargavargaḥ
159,kaṃsārāti,svargavargaḥ
160,adhokṣaja,svargavargaḥ
161,viśvambhara,svargavargaḥ
162,kaiṭabhajit,svargavargaḥ
163,vidhu,svargavargaḥ
164,śrīvatsalāñchana,svargavargaḥ
165,purāṇapuruṣa,svargavargaḥ
166,yajñapuruṣa,svargavargaḥ
167,narakāntaka,svargavargaḥ
168,jalaśāyin,svargavargaḥ
169,viśvarūpa,svargavargaḥ
170,mukunda,svargavargaḥ
171,muramardana,svargavargaḥ
172,vasudeva,svargavargaḥ
173,ānakadundubhi,svargavargaḥ
174,balabhadra,svargavargaḥ
175,pralambaghna,svargavargaḥ
176,baladeva,svargavargaḥ
177,acyutāgraja,svargavargaḥ
178,revatīramaṇa,svargavargaḥ
179,rāma,svargavargaḥ
180,kāmapāla,svargavargaḥ
181,halāyudha,svargavargaḥ
182,nīlāmbara,svargavargaḥ
183,rauhiṇeya,svargavargaḥ
184,tālāṅka,svargavargaḥ
185,musalin,svargavargaḥ
186,muṣalin,svargavargaḥ
187,halin,svargavargaḥ
188,saṅkarṣaṇa,svargavargaḥ
189,sīrapāṇi,svargavargaḥ
190,kālindībhedana,svargavargaḥ
191,bala,svargavargaḥ
192,madana,svargavargaḥ
193,manmatha,svargavargaḥ
194,māra,svargavargaḥ
195,pradyumna,svargavargaḥ
196,mīnaketana,svargavargaḥ
197,kandarpa,svargavargaḥ
198,darpaka,svargavargaḥ
199,anaṅga,svargavargaḥ
200,kāma,svargavargaḥ
201,pañcaśara,svargavargaḥ
202,smara,svargavargaḥ
203,śambarāri,svargavargaḥ
204,sambarāri,svargavargaḥ
205,manasija,svargavargaḥ
206,kusumeṣu,svargavargaḥ
207,ananyaja,svargavargaḥ
208,puṣpadhanvan,svargavargaḥ
209,ratipati,svargavargaḥ
210,makaradhvaja,svargavargaḥ
211,ātmabhū,svargavargaḥ
212,aravinda,svargavargaḥ
213,aśoka,svargavargaḥ
214,cūta,svargavargaḥ
215,navamallikā,svargavargaḥ
216,nīlotpala,svargavargaḥ
217,pañcabāṇa,svargavargaḥ
218,unmādana,svargavargaḥ
219,tāpana,svargavargaḥ
220,śoṣaṇa,svargavargaḥ
221,stambhana,svargavargaḥ
222,sammohana,svargavargaḥ
223,kāma,svargavargaḥ
224,brahmasū,svargavargaḥ
225,viśvaketu,svargavargaḥ
226,ṛśyaketu,svargavargaḥ
227,ṛṣyaketu,svargavargaḥ
228,jhaṣaketu,svargavargaḥ
229,aniruddha,svargavargaḥ
230,uṣāpati,svargavargaḥ
231,lakṣmī,svargavargaḥ
232,padmālayā,svargavargaḥ
233,padmā,svargavargaḥ
234,kamalā,svargavargaḥ
235,śrī,svargavargaḥ
236,haripriyā,svargavargaḥ
237,indirā,svargavargaḥ
238,lokamātṛ,svargavargaḥ
239,mā,svargavargaḥ
240,kṣīrodatanayā,svargavargaḥ
241,kṣīrābdhitanayā,svargavargaḥ
242,ramā,svargavargaḥ
243,bhārgavī,svargavargaḥ
244,lokajananī,svargavargaḥ
245,kṣīrasāgarakanyakā,svargavargaḥ
246,lakṣmīpati,svargavargaḥ
247,pāñcajanya,svargavargaḥ
248,sudarśana,svargavargaḥ
249,kaumodakī,svargavargaḥ
250,nandaka,svargavargaḥ
251,kaustubha,svargavargaḥ
252,śārṅga,svargavargaḥ
253,murāri,svargavargaḥ
254,śrīvatsa,svargavargaḥ
255,śaibya,svargavargaḥ
256,sugrīva,svargavargaḥ
257,meghapuṣpa,svargavargaḥ
258,balāhaka,svargavargaḥ
259,dāruka,svargavargaḥ
260,uddhava,svargavargaḥ
261,gada,svargavargaḥ
262,garutmat,svargavargaḥ
263,garuḍa,svargavargaḥ
264,tārkṣya,svargavargaḥ
265,vainateya,svargavargaḥ
266,khageśvara,svargavargaḥ
267,nāgāntaka,svargavargaḥ
268,viṣṇuratha,svargavargaḥ
269,suparṇa,svargavargaḥ
270,pannagāśana,svargavargaḥ
271,śambhu,svargavargaḥ
272,īśa,svargavargaḥ
273,paśupati,svargavargaḥ
274,śiva,svargavargaḥ
275,śūlin,svargavargaḥ
276,maheśvara,svargavargaḥ
277,īśvara,svargavargaḥ
278,śarva,svargavargaḥ
279,sarva,svargavargaḥ
280,īśāna,svargavargaḥ
281,śaṅkara,svargavargaḥ
282,candraśekhara,svargavargaḥ
283,bhūteśa,svargavargaḥ
284,khaṇḍaparaśu,svargavargaḥ
285,girīśa,svargavargaḥ
286,giriśa,svargavargaḥ
287,mṛḍa,svargavargaḥ
288,mṛtyuñjaya,svargavargaḥ
289,kṛttivāsas,svargavargaḥ
290,pinākin,svargavargaḥ
291,pramathādhipa,svargavargaḥ
292,ugra,svargavargaḥ
293,kapardin,svargavargaḥ
294,śrīkaṇṭha,svargavargaḥ
295,śitikaṇṭha,svargavargaḥ
296,kapālabhṛt,svargavargaḥ
297,vāmadeva,svargavargaḥ
298,mahādeva,svargavargaḥ
299,virūpākṣa,svargavargaḥ
300,trilocana,svargavargaḥ
301,kṛśānuretas,svargavargaḥ
302,sarvajña,svargavargaḥ
303,dhūrjaṭi,svargavargaḥ
304,nīlalohita,svargavargaḥ
305,hara,svargavargaḥ
306,hāra,svargavargaḥ
307,smarahara,svargavargaḥ
308,bharga,svargavargaḥ
309,bhargya,svargavargaḥ
310,tryambaka,svargavargaḥ
311,tripurāntaka,svargavargaḥ
312,gaṅgādhara,svargavargaḥ
313,andhakaripu,svargavargaḥ
314,kratudhvaṃsin,svargavargaḥ
315,vṛṣadhvaja,svargavargaḥ
316,vyomakeśa,svargavargaḥ
317,bhava,svargavargaḥ
318,bhīma,svargavargaḥ
319,sthāṇu,svargavargaḥ
320,rudra,svargavargaḥ
321,umāpati,svargavargaḥ
322,ahirbudhnya,svargavargaḥ
323,aṣṭamūrti,svargavargaḥ
324,gajāri,svargavargaḥ
325,mahānaṭa,svargavargaḥ
326,kaparda,svargavargaḥ
327,jaṭājūṭa,svargavargaḥ
328,pināka,svargavargaḥ
329,ajagava,svargavargaḥ
330,ajakava,svargavargaḥ
331,pramatha,svargavargaḥ
332,pāriṣada,svargavargaḥ
333,brāhmī,svargavargaḥ
334,brahmāṇī,svargavargaḥ
335,māheśvarī,svargavargaḥ
336,kaumārī,svargavargaḥ
337,vaiṣṇavī,svargavargaḥ
338,vārāhī,svargavargaḥ
339,indrāṇī,svargavargaḥ
340,cāmuṇḍā,svargavargaḥ
341,vibhūti,svargavargaḥ
342,bhūti,svargavargaḥ
343,aiśvarya,svargavargaḥ
344,aṇiman,svargavargaḥ
345,mahiman,svargavargaḥ
346,gariman,svargavargaḥ
347,laghiman,svargavargaḥ
348,prāpti,svargavargaḥ
349,prākāmya,svargavargaḥ
350,īśitva,svargavargaḥ
351,vaśitva,svargavargaḥ
352,umā,svargavargaḥ
353,kātyāyanī,svargavargaḥ
354,gaurī,svargavargaḥ
355,kālī,svargavargaḥ
356,kālā,svargavargaḥ
357,haimavatī,svargavargaḥ
358,īśvarī,svargavargaḥ
359,īśvarā,svargavargaḥ
360,śivā,svargavargaḥ
361,śivī,svargavargaḥ
362,bhavānī,svargavargaḥ
363,rudrāṇī,svargavargaḥ
364,śarvāṇī,svargavargaḥ
365,sarvamaṅgalā,svargavargaḥ
366,aparṇā,svargavargaḥ
367,pārvatī,svargavargaḥ
368,durgā,svargavargaḥ
369,mṛḍānī,svargavargaḥ
370,caṇḍikā,svargavargaḥ
371,ambikā,svargavargaḥ
372,āryā,svargavargaḥ
373,dākṣāyaṇī,svargavargaḥ
374,girijā,svargavargaḥ
375,menakātmajā,svargavargaḥ
376,karmamoṭī,svargavargaḥ
377,cāmuṇḍā,svargavargaḥ
378,carmamuṇḍā,svargavargaḥ
379,carcikā,svargavargaḥ
380,caṇḍikā,svargavargaḥ
381,vināyaka,svargavargaḥ
382,vighnarāja,svargavargaḥ
383,dvaimātura,svargavargaḥ
384,gaṇādhipa,svargavargaḥ
385,ekadanta,svargavargaḥ
386,heramba,svargavargaḥ
387,lambodara,svargavargaḥ
388,gajānana,svargavargaḥ
389,kārtikeya,svargavargaḥ
390,mahāsena,svargavargaḥ
391,śarajanman,svargavargaḥ
392,ṣaḍānana,svargavargaḥ
393,pārvatīnandana,svargavargaḥ
394,skanda,svargavargaḥ
395,senānī,svargavargaḥ
396,agnibhū,svargavargaḥ
397,guha,svargavargaḥ
398,bāhuleya,svargavargaḥ
399,tārakajit,svargavargaḥ
400,viśākha,svargavargaḥ
401,śikhivāhana,svargavargaḥ
402,ṣāṇmātura,svargavargaḥ
403,śaktidhara,svargavargaḥ
404,kumāra,svargavargaḥ
405,krauñcadāraṇa,svargavargaḥ
406,śṛṅgin,svargavargaḥ
407,bhṛṅgin,svargavargaḥ
408,riṭi,svargavargaḥ
409,tuṇḍin,svargavargaḥ
410,nandika,svargavargaḥ
411,nandikeśvara,svargavargaḥ
412,indra,svargavargaḥ
413,marutvat,svargavargaḥ
414,maghavan,svargavargaḥ
415,biḍaujas,svargavargaḥ
416,pākaśāsana,svargavargaḥ
417,vṛddhaśravas,svargavargaḥ
418,sunāsīra,svargavargaḥ
419,śunāsīra,svargavargaḥ
420,sunāśīra,svargavargaḥ
421,puruhūta,svargavargaḥ
422,purandara,svargavargaḥ
423,jiṣṇu,svargavargaḥ
424,lekharṣabha,svargavargaḥ
425,śakra,svargavargaḥ
426,śatamanyu,svargavargaḥ
427,divaspati,svargavargaḥ
428,sutrāman,svargavargaḥ
429,gotrabhid,svargavargaḥ
430,vajrin,svargavargaḥ
431,vāsava,svargavargaḥ
432,vṛtrahan,svargavargaḥ
433,vṛṣan,svargavargaḥ
434,vāstoṣpati,svargavargaḥ
435,surapati,svargavargaḥ
436,balārāti,svargavargaḥ
437,śacīpati,svargavargaḥ
438,jambhabhedin,svargavargaḥ
439,harihaya,svargavargaḥ
440,svārāj,svargavargaḥ
441,namucisūdana,svargavargaḥ
442,saṅkrandana,svargavargaḥ
443,duścyavana,svargavargaḥ
444,turāṣā,svargavargaḥ
445,meghavāhana,svargavargaḥ
446,ākhaṇḍala,svargavargaḥ
447,sahasrākṣa,svargavargaḥ
448,ṛbhukṣin,svargavargaḥ
449,pulomajā,svargavargaḥ
450,śacī,svargavargaḥ
451,sacī,svargavargaḥ
452,indrāṇī,svargavargaḥ
453,amarāvatī,svargavargaḥ
454,uccaiḥśravas,svargavargaḥ
455,mātali,svargavargaḥ
456,nandana,svargavargaḥ
457,vaijayanta,svargavargaḥ
458,jayanta,svargavargaḥ
459,pākaśāsani,svargavargaḥ
460,airāvata,svargavargaḥ
461,abhramātaṅga,svargavargaḥ
462,airāvaṇa,svargavargaḥ
463,abhramuvallabha,svargavargaḥ
464,hrādinī,svargavargaḥ
465,vajra,svargavargaḥ
466,kuliśa,svargavargaḥ
467,bhidura,svargavargaḥ
468,bhidira,svargavargaḥ
469,pavi,svargavargaḥ
470,śatakoṭi,svargavargaḥ
471,svaru,svargavargaḥ
472,svarus,svargavargaḥ
473,śamba,svargavargaḥ
474,samba,svargavargaḥ
475,śamva,svargavargaḥ
476,dambholi,svargavargaḥ
477,aśani,svargavargaḥ
478,vyomayāna,svargavargaḥ
479,vimāna,svargavargaḥ
480,nārada,svargavargaḥ
481,sudharmā,svargavargaḥ
482,devasabhā,svargavargaḥ
483,pīyūṣa,svargavargaḥ
484,peyūṣa,svargavargaḥ
485,amṛta,svargavargaḥ
486,sudhā,svargavargaḥ
487,mandākinī,svargavargaḥ
488,viyadgaṅgā,svargavargaḥ
489,svarṇadī,svargavargaḥ
490,suradīrghikā,svargavargaḥ
491,meru,svargavargaḥ
492,sumeru,svargavargaḥ
493,hemādri,svargavargaḥ
494,ratnasānu,svargavargaḥ
495,surālaya,svargavargaḥ
496,devataru,svargavargaḥ
497,mandāra,svargavargaḥ
498,pārijātaka,svargavargaḥ
499,santāna,svargavargaḥ
500,kalpavṛkṣa,svargavargaḥ
501,haricandana,svargavargaḥ
502,sanatkumāra,svargavargaḥ
503,sanātkumāra,svargavargaḥ
504,vaidhātra,svargavargaḥ
505,svarvaidya,svargavargaḥ
506,aśvinīsuta,svargavargaḥ
507,nāsatyau,svargavargaḥ
508,aśvinau,svargavargaḥ
509,dasrau,svargavargaḥ
510,āśvineyau,svargavargaḥ
511,apsaras,svargavargaḥ
512,svarveśyā,svargavargaḥ
513,ghṛtācī,svargavargaḥ
514,menakā,svargavargaḥ
515,rambhā,svargavargaḥ
516,urvaśī,svargavargaḥ
517,tilottamā,svargavargaḥ
518,sukeśī,svargavargaḥ
519,mañjughoṣā,svargavargaḥ
520,hāhā,svargavargaḥ
521,hahā,svargavargaḥ
522,hūhū,svargavargaḥ
523,gandharva,svargavargaḥ
524,agni,svargavargaḥ
525,vaiśvānara,svargavargaḥ
526,vahni,svargavargaḥ
527,vītihotra,svargavargaḥ
528,dhanañjaya,svargavargaḥ
529,kṛpīṭayoni,svargavargaḥ
530,jvalana,svargavargaḥ
531,jātavedas,svargavargaḥ
532,tanūnapāt,svargavargaḥ
533,barhis,svargavargaḥ
534,barhiṣ,svargavargaḥ
535,barhi,svargavargaḥ
536,śuṣman,svargavargaḥ
537,barhiḥśuṣman,svargavargaḥ
538,kṛṣṇavartman,svargavargaḥ
539,śociṣkeśa,svargavargaḥ
540,uṣarbudha,svargavargaḥ
541,āśrayāśa,svargavargaḥ
542,āśayāśa,svargavargaḥ
543,bṛhadbhānu,svargavargaḥ
544,kṛśānu,svargavargaḥ
545,pāvaka,svargavargaḥ
546,anala,svargavargaḥ
547,rohitāśva,svargavargaḥ
548,lohitāśva,svargavargaḥ
549,vāyusakha,svargavargaḥ
550,śikhāvat,svargavargaḥ
551,āśuśukṣaṇi,svargavargaḥ
552,hiraṇyaretas,svargavargaḥ
553,hutabhuj,svargavargaḥ
554,dahana,svargavargaḥ
555,havyavāhana,svargavargaḥ
556,saptārcis,svargavargaḥ
557,saptārcis,svargavargaḥ
558,damunas,svargavargaḥ
559,damūnas,svargavargaḥ
560,śukra,svargavargaḥ
561,citrabhānu,svargavargaḥ
562,vibhāvasu,svargavargaḥ
563,śuci,svargavargaḥ
564,appitta,svargavargaḥ
565,aurva,svargavargaḥ
566,ūrva,svargavargaḥ
567,vāḍava,svargavargaḥ
568,vaḍavānala,svargavargaḥ
569,jvālā,svargavargaḥ
570,kīlā,svargavargaḥ
571,arcis,svargavargaḥ
572,arci,svargavargaḥ
573,heti,svargavargaḥ
574,śikhā,svargavargaḥ
575,sphuliṅga,svargavargaḥ
576,agnikaṇa,svargavargaḥ
577,santāpa,svargavargaḥ
578,sañjvara,svargavargaḥ
579,ulkā,svargavargaḥ
580,nirgatajvālā,svargavargaḥ
581,bhūti,svargavargaḥ
582,bhasita,svargavargaḥ
583,bhasman,svargavargaḥ
584,kṣāra,svargavargaḥ
585,rakṣā,svargavargaḥ
586,dāva,svargavargaḥ
587,dava,svargavargaḥ
588,vanahutāśana,svargavargaḥ
589,dharmarāja,svargavargaḥ
590,pitṛpati,svargavargaḥ
591,samavartin,svargavargaḥ
592,paretarāj,svargavargaḥ
593,kṛtānta,svargavargaḥ
594,yamunābhrātṛ,svargavargaḥ
595,śamana,svargavargaḥ
596,yamarāj,svargavargaḥ
597,yama,svargavargaḥ
598,kāla,svargavargaḥ
599,daṇḍadhara,svargavargaḥ
600,śrāddhadeva,svargavargaḥ
601,vaivasvata,svargavargaḥ
602,antaka,svargavargaḥ
603,rākṣasa,svargavargaḥ
604,kauṇapa,svargavargaḥ
605,kravyād,svargavargaḥ
606,kravyāda,svargavargaḥ
607,asrapa,svargavargaḥ
608,aśrapa,svargavargaḥ
609,āśara,svargavargaḥ
610,āśira,svargavargaḥ
611,rātriñcara,svargavargaḥ
612,rātricara,svargavargaḥ
613,karbura,svargavargaḥ
614,karbara,svargavargaḥ
615,nikaṣātmaja,svargavargaḥ
616,yātudhāna,svargavargaḥ
617,jātudhāna,svargavargaḥ
618,puṇyajana,svargavargaḥ
619,nairṛta,svargavargaḥ
620,yātu,svargavargaḥ
621,rakṣas,svargavargaḥ
622,pracetas,svargavargaḥ
623,varuṇa,svargavargaḥ
624,varaṇa,svargavargaḥ
625,pāśin,svargavargaḥ
626,yādasāmpati,svargavargaḥ
627,appati,svargavargaḥ
628,śvasana,svargavargaḥ
629,sparśana,svargavargaḥ
630,vāyu,svargavargaḥ
631,mātariśvan,svargavargaḥ
632,sadāgati,svargavargaḥ
633,pṛṣadaśva,svargavargaḥ
634,gandhavaha,svargavargaḥ
635,gandhavāha,svargavargaḥ
636,anila,svargavargaḥ
637,āśuga,svargavargaḥ
638,samīra,svargavargaḥ
639,māruta,svargavargaḥ
640,marut,svargavargaḥ
641,jagatprāṇa,svargavargaḥ
642,samīraṇa,svargavargaḥ
643,nabhasvat,svargavargaḥ
644,vāta,svargavargaḥ
645,vāti,svargavargaḥ
646,pavana,svargavargaḥ
647,pavamāna,svargavargaḥ
648,prabhañjana,svargavargaḥ
649,prakampana,svargavargaḥ
650,mahāvāta,svargavargaḥ
651,jhañjhāvāta,svargavargaḥ
652,prāṇa,svargavargaḥ
653,apāna,svargavargaḥ
654,samāna,svargavargaḥ
655,udāna,svargavargaḥ
656,vyāna,svargavargaḥ
657,raṃhas,svargavargaḥ
658,taras,svargavargaḥ
659,raya,svargavargaḥ
660,syada,svargavargaḥ
661,java,svargavargaḥ
662,śīghra,svargavargaḥ
663,tvarita,svargavargaḥ
664,laghu,svargavargaḥ
665,kṣipra,svargavargaḥ
666,ara,svargavargaḥ
667,druta,svargavargaḥ
668,satvara,svargavargaḥ
669,capala,svargavargaḥ
670,tūrṇa,svargavargaḥ
671,avilambita,svargavargaḥ
672,āśu,svargavargaḥ
673,satata,svargavargaḥ
674,anārata,svargavargaḥ
675,aśrānta,svargavargaḥ
676,santata,svargavargaḥ
677,avirata,svargavargaḥ
678,aniśa,svargavargaḥ
679,nitya,svargavargaḥ
680,anavarata,svargavargaḥ
681,ajasra,svargavargaḥ
682,atiśaya,svargavargaḥ
683,bhara,svargavargaḥ
684,ativela,svargavargaḥ
685,bhṛśa,svargavargaḥ
686,atyartha,svargavargaḥ
687,atimātra,svargavargaḥ
688,udgāḍha,svargavargaḥ
689,nirbhara,svargavargaḥ
690,tīvra,svargavargaḥ
691,ekānta,svargavargaḥ
692,nitānta,svargavargaḥ
693,gāḍha,svargavargaḥ
694,bāḍha,svargavargaḥ
695,dṛḍha,svargavargaḥ
696,kubera,svargavargaḥ
697,tryambakasakha,svargavargaḥ
698,yakṣarāj,svargavargaḥ
699,guhyakeśvara,svargavargaḥ
700,manuṣyadharman,svargavargaḥ
701,dhanada,svargavargaḥ
702,rājarāja,svargavargaḥ
703,dhanādhipa,svargavargaḥ
704,kinnareśa,svargavargaḥ
705,vaiśravaṇa,svargavargaḥ
706,paulastya,svargavargaḥ
707,naravāhana,svargavargaḥ
708,yakṣa,svargavargaḥ
709,ekapiṅga,svargavargaḥ
710,ailavila,svargavargaḥ
711,aiḍavila,svargavargaḥ
712,aiḍaviḍa,svargavargaḥ
713,śrīda,svargavargaḥ
714,puṇyajaneśvara,svargavargaḥ
715,caitraratha,svargavargaḥ
716,nalakūbara,svargavargaḥ
717,kailāsa,svargavargaḥ
718,alakā,svargavargaḥ
719,puṣpaka,svargavargaḥ
720,kinnara,svargavargaḥ
721,kimpuruṣa,svargavargaḥ
722,turaṅgavadana,svargavargaḥ
723,mayu,svargavargaḥ
724,nidhi,svargavargaḥ
725,śevadhi,svargavargaḥ
726,padma,svargavargaḥ
727,śaṅkha,svargavargaḥ
728,mahāpadma,svargavargaḥ
729,padma,svargavargaḥ
730,śaṅkha,svargavargaḥ
731,makara,svargavargaḥ
732,kacchapa,svargavargaḥ
733,mukunda,svargavargaḥ
734,kunda,svargavargaḥ
735,nīla,svargavargaḥ
736,kharva,svargavargaḥ
737,dyo,vyomavargaḥ
738,div,vyomavargaḥ
739,abhra,vyomavargaḥ
740,vyoman,vyomavargaḥ
741,puṣkara,vyomavargaḥ
742,ambara,vyomavargaḥ
743,nabhas,vyomavargaḥ
744,antarikṣa,vyomavargaḥ
745,gagana,vyomavargaḥ
746,ananta,vyomavargaḥ
747,suravartman,vyomavargaḥ
748,kha,vyomavargaḥ
749,viyat,vyomavargaḥ
750,viṣṇupada,vyomavargaḥ
751,ākāśa,vyomavargaḥ
752,vihāyas,vyomavargaḥ
753,vihāyas,vyomavargaḥ
754,nāka,vyomavargaḥ
755,dyu,vyomavargaḥ
756,avyaya,vyomavargaḥ
757,tārāpatha,vyomavargaḥ
758,antarikṣa,vyomavargaḥ
759,meghādhvan,vyomavargaḥ
760,mahābila,vyomavargaḥ
761,śakuna,vyomavargaḥ
762,gagana,vyomavargaḥ
763,diś,digvargaḥ
764,kakubh,digvargaḥ
765,kāṣṭhā,digvargaḥ
766,āśā,digvargaḥ
767,harit,digvargaḥ
768,prācī,digvargaḥ
769,avācī,digvargaḥ
770,apācī,digvargaḥ
771,pratīcī,digvargaḥ
772,pūrva,digvargaḥ
773,dakṣiṇa,digvargaḥ
774,paścima,digvargaḥ
775,uttarā,digvargaḥ
776,udīcī,digvargaḥ
777,diśya,digvargaḥ
778,avāc,digvargaḥ
779,avācīna,digvargaḥ
780,udīcīna,digvargaḥ
781,udak,digvargaḥ
782,pratyag,digvargaḥ
783,pratīcīna,digvargaḥ
784,prācīna,digvargaḥ
785,prāk,digvargaḥ
786,indra,digvargaḥ
787,vahni,digvargaḥ
788,pitṛpati,digvargaḥ
789,nairṛta,digvargaḥ
790,varuṇa,digvargaḥ
791,marut,digvargaḥ
792,kubera,digvargaḥ
793,īśa,digvargaḥ
794,pūrva,digvargaḥ
795,ravi,digvargaḥ
796,śukra,digvargaḥ
797,mahīsūnu,digvargaḥ
798,svarbhānu,digvargaḥ
799,bhānuja,digvargaḥ
800,vidhu,digvargaḥ
801,budha,digvargaḥ
802,bṛhaspati,digvargaḥ
803,airāvata,digvargaḥ
804,puṇḍarīka,digvargaḥ
805,vāmana,digvargaḥ
806,kumuda,digvargaḥ
807,añjana,digvargaḥ
808,puṣpadanta,digvargaḥ
809,sārvabhauma,digvargaḥ
810,supratīka,digvargaḥ
811,abhramu,digvargaḥ
812,kapilā,digvargaḥ
813,piṅgalā,digvargaḥ
814,anupamā,digvargaḥ
815,tāmrakarṇī,digvargaḥ
816,śubhradantī,digvargaḥ
817,śubhadantī,digvargaḥ
